,cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,hwf
0,4379,0.0005055462772411100,0.0002488948744027370,9.5019947549673E-06,2.21821403999456E-06,4.7715523371908E-05,4.75099737748365E-06,0.0004822235828787840,0.0012833422060830400,0.0026753425547384600,0.004111411528120340,0.004899956611490230,0.003232623027343240,0.003418200207343350,0.004316911038596680,0.003134606515706230,0.0036941436098876700,0.002876945230861800,0.0026755275969971300,0.003813525094263030,0.0027151804455847100,0.003395887434744890,0.0038005147417059400,0.00278770725192048,0.0013811324778747600,1
1,4380,0.001622373494968240,0.001364785115051130,0.010338643640720500,0.01115443020617180,0.01085779282994470,0.011242949682215700,0.008890320995105720,0.0024970451974930400,0.00561700289283296,0.004994251554566710,0.0054045117326348200,0.0056112482427005100,0.006075333640693760,0.005639160593905870,0.005224378629334580,0.004582621731288230,0.005635685146179500,0.007947307589520730,0.013844394760909300,0.0069552739751670500,0.005852077815824010,0.005189170188116280,0.005335031088038760,0.002228028032987480,0
2,4381,0.001115138218999930,0.00036995478350498700,0.00013817143286938700,0.0,7.91481804245606E-06,7.91481804245606E-06,0.0004181828379861530,0.002092567986523230,0.002984192954628540,0.00264048954492989,0.0019894369421400400,0.002878290010769750,0.0035033305696115500,0.0034558679600182100,0.0025382638524490200,0.0030741498152253800,0.002176104746255940,0.002187185300333090,0.0032258948145539000,0.0021983108734300100,0.0031444678201211500,0.0017240827030423500,0.0019699011659701400,0.0014567781121815100,1
3,4382,0.0018698438395685000,0.0010419308392781200,0.0017510116533953600,0.0,0.00011818013568620700,0.00011818013568620700,0.0015245993104660600,0.011886557612744300,0.009923703974067610,0.014429639958098000,0.00938020545769643,0.00975371894936229,0.012648963417385800,0.017794907502531500,0.010852999879143400,0.017044173300842600,0.013721232167745200,0.014985824673480400,0.016102284162857100,0.012974967841803300,0.0169394930411037,0.014571106271725400,0.012701914482643800,0.009929519897343510,1
4,4383,0.002081106169356930,0.0012226153009354600,0.0017242038282220500,1.90203353388351E-05,0.00010361548858535000,0.00040209850844942100,0.0017235282084035300,0.01306145671258230,0.011220526624647400,0.01570983713394290,0.011138981561394700,0.01101742715857420,0.014260827259952400,0.01870755713956890,0.012065409313935800,0.017346523425941300,0.015103159066702100,0.01588864624735520,0.01741321040071740,0.014363915627241200,0.017909526927320100,0.015497383574022200,0.013266723906398300,0.010571155966043900,1
5,4384,0.0013466752225011600,0.0010198356445644300,0.0008645890796218820,4.5764651555896E-06,0.0002952381801551600,0.0001804792308675770,0.0012079809797690600,0.007035377669446390,0.008002726512901110,0.009860091922459930,0.007425076600077940,0.009525618272565000,0.0105814973562735,0.01214665730910090,0.008744721280165950,0.011242686257553800,0.011437413395364300,0.013557765989755600,0.012157484618491700,0.009084846703190770,0.012035792959767700,0.009305918343641040,0.008323545894865790,0.006746061085554970,1
6,4385,0.0007076933403277140,0.00043338652158518300,0.0007126781989552890,1.04173507008679E-06,0.000346349966848398,0.00011601779722047500,0.0013298693141249800,0.003959428584431640,0.005927097733193260,0.0069608183623873500,0.004599506381733890,0.007147177409068050,0.007249393173607640,0.009843820939556880,0.005946065687907870,0.010600865324092000,0.008904284182741690,0.011432222984589800,0.009153585063353240,0.007258515472576210,0.009827380981845880,0.007068391155583680,0.006290590031716900,0.0043910448119519900,1
7,4386,0.00020815974229651100,0.00018953370806099700,0.0002942842710438060,1.18288252269612E-05,0.00015342580592143400,6.38207817952363E-05,0.002070896737992510,0.0025087922459844700,0.004150338001516980,0.003430031488477540,0.0019500507964796300,0.002760970710976120,0.004097077679299150,0.004896873985533880,0.003116731377296020,0.005412597591432120,0.005829506083038820,0.008264718173351050,0.004227219625672130,0.005951846985190390,0.005539833444584520,0.0044410638518669300,0.002635981791418850,0.001367073566738550,1
8,4387,9.20299625747271E-05,3.11598230740537E-07,5.19330384567452E-08,0.0,0.00026274581933134400,2.48847876795455E-05,0.004292508675634540,0.0036683823829309000,0.005993190105151160,0.0029325907524044100,0.0014822867622413900,0.0021104974885167900,0.004606078757319680,0.0037176722667626400,0.0028053676977141900,0.004064268488833330,0.0077958293927400700,0.012266650582710400,0.003643415025272560,0.00977921330823598,0.006026127327465280,0.005242321396422980,0.0018416390908003900,0.00020522394746914700,1
9,4388,0.0008925733186900460,0.0005650313712397090,9.34944972962331E-05,1.01609686557756E-06,0.00011291433006341000,3.94566498931724E-05,0.0010335752950872300,0.005307477903897140,0.001177554832450630,0.0016358758072240000,0.002126473513922270,0.0012213751686720300,0.0017896142518828400,0.002188916498799110,0.003431425262330470,0.0028694820480698600,0.0038733713836137500,0.004329757784013580,0.004790968075464070,0.004110005455270720,0.004029582239262990,0.003955519559131070,0.00354547578063057,0.0008254159044607080,1
